Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
40 Pinckney St, 40 Pinckney St, 02114, Boston, MA, 42.358784, -71.06678, 3900000, FOR_SALE, SINGLE_FAMILY, 59174457, 2676, 5, 5, , 5, 2, 240820000, true, false, -1, false
34-34 Grove Sq #4, 34-34 Grove Sq #4, 02114, Boston, MA, 42.36002, -71.06852, 499999, FOR_SALE, CONDO, 400807038, 375, 1, 1, # 4, 1, 9, 8276020000, true, false, -1, false
35 S Russell St, 35 S Russell St, 02114, Boston, MA, 42.36016, -71.0661, 2650000, FOR_SALE, SINGLE_FAMILY, 59169445, 2421, 4, 3, , 6, 10, 10004020000, true, false, -1, false
87 E Brookline St #3, 87 E Brookline St #3, 02118, Boston, MA, 42.33737, -71.07, 1095000, FOR_SALE, CONDO, 67094795, 1330, 3, 2, # 3, 10, 8, 327220000, true, false, -1, false
99 Tremont At Oak Sq #415, 99 Tremont At Oak Sq #415, 02135, Brighton, MA, 42.35711, -71.06174, 845000, FOR_SALE, CONDO, 439806999, 1149, 2, 2, # 415, 4, 8, 4474420000, true, false, -1, false
307 Hyde Park Ave #1, 307 Hyde Park Ave #1, 02130, Jamaica Plain, MA, 42.290924, -71.118324, 479000, FOR_SALE, CONDO, 90136059, 910, 2, 1, # 1, 4, 9, 327220000, true, false, -1, false
38 Allston St #PENTHOUSE, 38 Allston St #PENTHOUSE, 02129, Charlestown, MA, 42.380863, -71.06331, 929000, FOR_SALE, CONDO, 441788454, 939, 2, 2, # PENTHOUSE, 9, 8, 586420000, true, false, -1, false
4 Hagar St UNIT 1, 4 Hagar St UNIT 1, 02130, Jamaica Plain, MA, 42.31069, -71.11596, 900000, FOR_SALE, CONDO, 318226186, 1148, 3, 2, Unit 1, 6, 8, 327220000, true, false, -1, false
79 Butler St, 79 Butler St, 02124, Dorchester, MA, 42.27187, -71.062675, 999900, FOR_SALE, MULTI_FAMILY, 59118427, 2207, 5, 2, , 10, 2, 327220000, true, false, -1, false
85 Child St #2, 85 Child St #2, 02130, Jamaica Plain, MA, 42.306812, -71.111824, 599000, FOR_SALE, CONDO, 59162263, 863, 2, 1, # 2, 10, 9, 413620000, true, false, -1, false
18 Farquhar St, 18 Farquhar St, 02131, Roslindale, MA, 42.289165, -71.13568, 1320000, FOR_SALE, MULTI_FAMILY, 59142559, 2701, 4, 2, , 1, 1, 500020000, true, false, -1, false
765 E Broadway #1, 765 E Broadway #1, 02127, Boston, MA, 42.335426, -71.03465, 1069000, FOR_SALE, CONDO, 2063629346, 1608, 4, 3, # 1, 5, 3, 500020000, true, false, -1, false
425 S Huntington Ave APT 14, 425 S Huntington Ave APT 14, 02130, Jamaica Plain, MA, 42.320213, -71.112144, 469900, FOR_SALE, CONDO, 59132134, 820, 2, 1, Apt 14, 3, 4, 1018420000, true, false, -1, false
88 Saint Botolph St APT 5, 88 Saint Botolph St APT 5, 02116, Boston, MA, 42.34507, -71.080246, 1449000, FOR_SALE, CONDO, 59179267, 1210, 2, 2, Apt 5, 9, 1, 413620000, true, false, -1, false
32 Robinwood Ave APT 3, 32 Robinwood Ave APT 3, 02130, Jamaica Plain, MA, 42.316505, -71.11183, 690000, FOR_SALE, CONDO, 59131026, 1285, 2, 1, Apt 3, 4, 8, 413620000, true, false, -1, false
74 Dale St, 74 Dale St, 02119, Roxbury, MA, 42.321495, -71.08667, 800000, FOR_SALE, MULTI_FAMILY, 59188151, 2685, 6, 2, , 8, 5, 327220000, true, false, -1, false
34 Garden St #1, 34 Garden St #1, 02114, Boston, MA, 42.36024, -71.06682, 629000, FOR_SALE, CONDO, 63041730, 485, 1, 1, # 1, 1, 9, 845620000, true, false, -1, false
381 Beacon St, 381 Beacon St, 02116, Boston, MA, 42.351894, -71.08462, 6990000, FOR_SALE, SINGLE_FAMILY, 59169513, 5165, 5, 4, , 6, 2, 500020000, true, false, -1, false
1 Dunreath St #C, 1 Dunreath St #C, 02119, Boston, MA, 42.322636, -71.08161, 485000, FOR_SALE, TOWNHOUSE, 60112981, 1279, 3, 2, # C, 8, 3, 6375220000, true, false, -1, false
110 112th St #2, 110 112th St #2, 02109, Boston, MA, 42.361908, -71.05298, 712000, FOR_SALE, CONDO, 441868368, 908, 1, 1, # 2, 2, 5, 240820000, true, false, -1, false
